timestamp,open,high,low,close,volume
2024-06-01T00:00:00.000Z,100.00,100.06,98.05,99.02,189.81
2024-06-01T01:00:00.000Z,99.02,99.47,98.56,99.07,97.99
2024-06-01T02:00:00.000Z,99.07,99.90,98.81,99.17,81.19
2024-06-01T03:00:00.000Z,99.17,100.22,98.98,99.70,123.59
2024-06-01T04:00:00.000Z,99.70,100.24,98.99,99.29,245.59
2024-06-01T05:00:00.000Z,99.29,100.17,98.59,98.78,78.73
2024-06-01T06:00:00.000Z,98.78,99.07,97.54,98.09,202.37
2024-06-01T07:00:00.000Z,98.09,99.00,96.69,97.24,174.32
2024-06-01T08:00:00.000Z,97.24,98.57,96.62,97.60,234.24
2024-06-01T09:00:00.000Z,97.60,98.30,97.43,98.26,121.40
2024-06-01T10:00:00.000Z,98.26,98.28,98.02,98.11,203.60
2024-06-01T11:00:00.000Z,98.11,98.53,97.38,97.85,239.24
2024-06-01T12:00:00.000Z,97.85,98.94,97.51,98.25,121.27
2024-06-01T13:00:00.000Z,98.25,98.38,96.62,97.53,114.49
2024-06-01T14:00:00.000Z,97.53,98.16,96.57,96.91,58.73
2024-06-01T15:00:00.000Z,96.91,98.20,96.36,97.28,215.32
2024-06-01T16:00:00.000Z,97.28,98.51,97.16,97.59,155.99
2024-06-01T17:00:00.000Z,97.59,98.78,96.63,97.89,217.59
2024-06-01T18:00:00.000Z,97.89,99.04,96.92,98.08,159.71
2024-06-01T19:00:00.000Z,98.08,98.72,97.56,98.71,115.61
2024-06-01T20:00:00.000Z,98.71,99.71,97.96,99.16,245.39
2024-06-01T21:00:00.000Z,99.16,100.10,98.73,99.28,178.47
2024-06-01T22:00:00.000Z,99.28,100.31,98.96,99.75,97.37
2024-06-01T23:00:00.000Z,99.75,99.78,97.83,98.77,216.67
2024-06-02T00:00:00.000Z,98.77,99.05,98.15,99.03,168.98
2024-06-02T01:00:00.000Z,99.03,100.46,98.76,99.47,247.26
2024-06-02T02:00:00.000Z,99.47,100.57,98.84,99.77,216.03
2024-06-02T03:00:00.000Z,99.77,100.76,98.54,99.05,163.38
2024-06-02T04:00:00.000Z,99.05,99.44,98.16,98.37,212.71
2024-06-02T05:00:00.000Z,98.37,99.83,97.71,99.09,248.05
2024-06-02T06:00:00.000Z,99.09,100.05,98.13,99.31,147.84
2024-06-02T07:00:00.000Z,99.31,99.89,97.97,98.77,220.78
2024-06-02T08:00:00.000Z,98.77,99.32,97.67,98.15,155.13
2024-06-02T09:00:00.000Z,98.15,98.40,97.07,97.51,145.50
2024-06-02T10:00:00.000Z,97.51,97.51,96.68,96.85,54.82
2024-06-02T11:00:00.000Z,96.85,97.73,95.08,96.06,62.02
2024-06-02T12:00:00.000Z,96.06,96.47,94.91,95.41,196.47
2024-06-02T13:00:00.000Z,95.41,95.77,94.36,95.15,192.15
2024-06-02T14:00:00.000Z,95.15,96.28,94.35,95.75,132.43
2024-06-02T15:00:00.000Z,95.75,96.17,95.22,95.88,205.30
2024-06-02T16:00:00.000Z,95.88,96.13,94.21,95.04,215.47
2024-06-02T17:00:00.000Z,95.04,96.01,94.68,95.58,234.07
2024-06-02T18:00:00.000Z,95.58,95.95,94.61,95.09,216.06
2024-06-02T19:00:00.000Z,95.09,96.06,94.34,94.90,137.26
2024-06-02T20:00:00.000Z,94.90,95.43,94.28,94.57,226.84
2024-06-02T21:00:00.000Z,94.57,95.70,93.73,94.72,149.13
2024-06-02T22:00:00.000Z,94.72,95.41,93.66,94.59,160.13
2024-06-02T23:00:00.000Z,94.59,95.07,93.90,94.91,128.16
2024-06-03T00:00:00.000Z,94.91,95.98,94.52,95.13,109.08
2024-06-03T01:00:00.000Z,95.13,95.81,93.57,94.31,242.93
2024-06-03T02:00:00.000Z,94.31,94.57,93.87,93.94,194.07
2024-06-03T03:00:00.000Z,93.94,95.58,93.11,94.79,242.55
2024-06-03T04:00:00.000Z,94.79,95.77,93.96,94.25,157.69
2024-06-03T05:00:00.000Z,94.25,94.96,93.27,94.03,174.75
2024-06-03T06:00:00.000Z,94.03,95.10,93.43,94.48,104.38
2024-06-03T07:00:00.000Z,94.48,95.63,94.34,95.14,194.51
2024-06-03T08:00:00.000Z,95.14,95.70,94.52,95.07,227.61
2024-06-03T09:00:00.000Z,95.07,96.13,94.97,95.98,107.38
2024-06-03T10:00:00.000Z,95.98,96.42,95.07,96.02,221.45
2024-06-03T11:00:00.000Z,96.02,96.99,95.75,96.09,148.62
2024-06-03T12:00:00.000Z,96.09,97.61,95.29,96.94,116.71
2024-06-03T13:00:00.000Z,96.94,98.73,96.09,97.76,50.54
2024-06-03T14:00:00.000Z,97.76,98.51,96.99,97.09,66.50
2024-06-03T15:00:00.000Z,97.09,98.19,96.50,97.91,102.43
2024-06-03T16:00:00.000Z,97.91,99.22,97.86,98.50,139.33
2024-06-03T17:00:00.000Z,98.50,99.54,98.42,99.46,126.24
2024-06-03T18:00:00.000Z,99.46,100.73,99.19,100.04,149.51
2024-06-03T19:00:00.000Z,100.04,100.52,98.82,99.25,158.85
2024-06-03T20:00:00.000Z,99.25,100.03,98.29,98.59,188.37
2024-06-03T21:00:00.000Z,98.59,99.29,98.41,99.25,193.44
2024-06-03T22:00:00.000Z,99.25,100.32,98.41,100.04,178.87
2024-06-03T23:00:00.000Z,100.04,100.13,99.58,99.68,247.68
2024-06-04T00:00:00.000Z,99.68,100.33,99.17,100.07,64.16
2024-06-04T01:00:00.000Z,100.07,100.53,99.29,100.10,82.45
2024-06-04T02:00:00.000Z,100.10,100.76,99.86,100.59,90.93
2024-06-04T03:00:00.000Z,100.59,101.38,100.55,101.35,238.05
2024-06-04T04:00:00.000Z,101.35,102.67,100.77,102.19,191.02
2024-06-04T05:00:00.000Z,102.19,102.71,101.46,101.53,169.05
2024-06-04T06:00:00.000Z,101.53,102.82,101.46,101.97,164.03
2024-06-04T07:00:00.000Z,101.97,102.03,100.79,101.71,104.56
2024-06-04T08:00:00.000Z,101.71,102.00,100.68,101.02,208.66
2024-06-04T09:00:00.000Z,101.02,102.54,100.25,101.67,191.54
2024-06-04T10:00:00.000Z,101.67,103.04,100.97,102.40,187.61
2024-06-04T11:00:00.000Z,102.40,102.80,101.36,102.02,115.48
2024-06-04T12:00:00.000Z,102.02,102.51,100.90,101.50,185.03
2024-06-04T13:00:00.000Z,101.50,102.21,101.11,101.35,197.58
2024-06-04T14:00:00.000Z,101.35,101.83,100.96,101.39,213.11
2024-06-04T15:00:00.000Z,101.39,101.95,100.10,100.64,181.90
2024-06-04T16:00:00.000Z,100.64,100.97,100.22,100.90,239.05
2024-06-04T17:00:00.000Z,100.90,101.83,100.20,101.32,113.27
2024-06-04T18:00:00.000Z,101.32,102.34,100.56,102.27,139.31
2024-06-04T19:00:00.000Z,102.27,102.77,101.50,101.72,220.96
2024-06-04T20:00:00.000Z,101.72,103.26,100.78,102.72,83.30
2024-06-04T21:00:00.000Z,102.72,102.90,102.64,102.68,190.29
2024-06-04T22:00:00.000Z,102.68,103.43,102.68,103.21,146.39
2024-06-04T23:00:00.000Z,103.21,103.85,102.67,103.54,238.06
2024-06-05T00:00:00.000Z,103.54,104.09,102.43,103.13,110.01
2024-06-05T01:00:00.000Z,103.13,103.76,102.22,102.34,159.36
2024-06-05T02:00:00.000Z,102.34,103.01,101.42,102.24,198.25
2024-06-05T03:00:00.000Z,102.24,103.17,101.72,102.39,200.53
